Fecha ,28 dias,1 an,3 an,5 an,10 an
14/01/2010,4.50,4.98,NA,NA,NA
21/01/2010,4.49,NA,6.27,NA,NA
28/01/2010,4.48,NA,NA,NA,NA
04/02/2010,4.47,NA,NA,7.05,NA
11/02/2010,4.49,5.00,NA,NA,NA
18/02/2010,4.49,NA,6.10,NA,NA
25/02/2010,4.49,NA,NA,NA,7.66
04/03/2010,4.49,NA,NA,6.72,NA
11/03/2010,4.41,5.07,NA,NA,NA
18/03/2010,4.43,NA,6.12,NA,NA
25/03/2010,4.46,NA,NA,NA,NA
31/03/2010,4.45,NA,NA,6.78,NA
08/04/2010,4.43,5.09,NA,NA,7.54
15/04/2010,4.41,NA,5.85,NA,NA
22/04/2010,4.46,NA,NA,NA,NA
29/04/2010,4.45,NA,NA,6.63,NA
06/05/2010,4.49,4.95,NA,NA,NA
13/05/2010,4.49,NA,5.73,NA,NA
20/05/2010,4.53,NA,NA,NA,7.49
27/05/2010,4.55,NA,NA,6.20,NA
03/06/2010,4.58,4.86,NA,NA,NA
10/06/2010,4.59,NA,5.37,NA,NA
17/06/2010,4.60,NA,NA,NA,NA
24/06/2010,4.59,NA,NA,6.23,NA
01/07/2010,4.60,4.77,NA,NA,6.88
08/07/2010,4.59,NA,5.43,NA,NA
15/07/2010,4.59,NA,NA,NA,NA
22/07/2010,4.59,NA,NA,NA,NA
29/07/2010,4.60,4.81,NA,NA,NA
05/08/2010,4.56,NA,5.38,NA,NA
12/08/2010,4.54,NA,NA,NA,6.49
19/08/2010,4.50,NA,NA,NA,NA
26/08/2010,4.47,4.77,NA,NA,NA
02/09/2010,4.48,NA,5.23,NA,NA
09/09/2010,4.48,NA,NA,NA,NA
15/09/2010,4.45,NA,NA,NA,NA
23/09/2010,4.36,4.74,NA,NA,6.25
30/09/2010,4.36,NA,5.22,NA,NA
07/10/2010,4.18,NA,NA,NA,NA
14/10/2010,4.05,NA,NA,5.53,NA
21/10/2010,4.03,4.65,NA,NA,NA
28/10/2010,3.84,NA,5.04,NA,NA
04/11/2010,3.85,NA,NA,NA,6.13
11/11/2010,3.92,NA,NA,5.28,NA
18/11/2010,3.94,4.52,NA,NA,NA
25/11/2010,4.17,NA,5.15,NA,NA
02/12/2010,4.35,NA,NA,NA,NA
09/12/2010,4.16,NA,NA,6.11,NA
16/12/2010,4.18,4.85,NA,NA,7.16
23/12/2010,4.38,NA,5.44,NA,NA
30/12/2010,4.45,NA,NA,NA,NA
06/01/2011,4.16,NA,NA,6.27,NA
13/01/2011,4.20,4.76,NA,NA,NA
20/01/2011,4.13,NA,5.89,NA,NA
27/01/2011,4.05,NA,NA,NA,NA
03/02/2011,4.04,NA,NA,6.40,NA
10/02/2011,4.05,4.81,NA,NA,NA
17/02/2011,3.94,NA,5.87,NA,NA
24/02/2011,4.14,NA,NA,NA,NA
03/03/2011,4.22,NA,NA,6.68,NA
10/03/2011,4.28,4.75,NA,NA,NA
17/03/2011,4.24,NA,5.90,NA,NA
24/03/2011,4.30,NA,NA,NA,NA
31/03/2011,4.30,NA,NA,6.77,NA
07/04/2011,4.26,4.92,NA,NA,NA
14/04/2011,4.28,NA,5.87,NA,NA
20/04/2011,4.33,NA,NA,NA,7.28
28/04/2011,4.24,NA,NA,6.45,NA
05/05/2011,4.24,4.84,NA,NA,NA
12/05/2011,4.27,NA,5.65,NA,NA
19/05/2011,4.34,NA,NA,NA,NA
26/05/2011,4.39,NA,NA,6.18,NA
02/06/2011,4.43,4.69,NA,NA,6.92
09/06/2011,4.37,NA,5.51,NA,NA
16/06/2011,4.38,NA,NA,NA,NA
23/06/2011,4.35,NA,NA,5.94,NA
30/06/2011,4.33,4.75,NA,NA,NA
07/07/2011,4.18,NA,5.59,NA,NA
14/07/2011,4.15,NA,NA,NA,6.90
21/07/2011,4.15,NA,NA,NA,NA
28/07/2011,4.08,4.64,NA,NA,NA
04/08/2011,3.96,NA,5.08,NA,NA
11/08/2011,3.99,NA,NA,NA,NA
18/08/2011,4.09,NA,NA,NA,NA
25/08/2011,4.17,4.52,NA,NA,5.78
01/09/2011,4.11,NA,4.64,NA,NA
08/09/2011,4.17,NA,NA,NA,NA
15/09/2011,4.25,NA,NA,NA,NA
22/09/2011,4.27,4.45,NA,NA,NA
29/09/2011,4.34,NA,4.83,NA,NA
06/10/2011,4.35,NA,NA,NA,6.85
13/10/2011,4.37,NA,NA,5.11,NA
20/10/2011,4.35,4.40,NA,NA,NA
27/10/2011,4.37,NA,4.66,NA,NA
03/11/2011,4.38,NA,NA,NA,NA
