Periodo,Cambio % Inv,Cambio % C ,Cambio % PIB,Tasa de inter‚s real ,Cambio  rezago 1% Inv,Cambio rezago 1 % PIB,Cambio rezago 1 Tasa inter‚s
2010/04,2.525080793,1.478866273,0.833489619,-0.825922794,-0.466391377,0.910123224,0.134860519
2011/01,0.402387713,0.195131527,0.812215047,0.028518208,2.525080793,0.833489619,-0.825922794
2011/02,4.693440822,1.384100434,0.439065833,1.851560784,0.402387713,0.812215047,0.028518208
2011/03,2.468586243,1.240481148,1.925636532,0.179363111,4.693440822,0.439065833,1.851560784
2011/04,2.599873451,-0.000784474,0.714354446,-1.50047586,2.468586243,1.925636532,0.179363111
2012/01,-0.20823811,1.001336075,0.563196626,0.13638682,2.599873451,0.714354446,-1.50047586
2012/02,1.020501705,-0.185670472,0.885168169,1.269474466,-0.20823811,0.563196626,0.13638682
2012/03,1.314250618,0.352976386,0.62989293,-0.225631458,1.020501705,0.885168169,1.269474466
2012/04,-1.970356283,0.431514078,0.842159806,-0.334447605,1.314250618,0.62989293,-0.225631458
2013/01,-0.455891664,1.72393025,0.34681201,-0.595049412,-1.970356283,0.842159806,-0.334447605
2013/02,-2.850099069,-0.715860567,-0.693608589,1.279824618,-0.455891664,0.34681201,-0.595049412
2013/03,-0.919855875,0.436688532,0.969458409,0.327116279,-2.850099069,-0.693608589,1.279824618
2013/04,1.293557337,0.542931442,0.545574203,-1.130538169,-0.919855875,0.969458409,0.327116279
2014/01,0.069900647,0.341823319,0.646940933,-0.585264996,1.293557337,0.545574203,-1.130538169
2014/02,2.525237686,1.779552944,1.265220689,1.156413204,0.069900647,0.646940933,-0.585264996
2014/03,0.333251446,-0.398121557,0.375643139,-0.357916505,2.525237686,1.265220689,1.156413204
2014/04,4.336498129,0.626308063,1.113502326,-1.127787588,0.333251446,0.375643139,-0.357916505
2015/01,-2.476601092,0.619074652,0.550610669,0.240444468,4.336498129,1.113502326,-1.127787588
2015/02,3.730212186,0.694173946,1.036955186,1.365094076,-2.476601092,0.550610669,0.240444468
2015/03,2.36520976,0.9446331,1.21336502,0.080728978,3.730212186,1.036955186,1.365094076
2015/04,-1.573051295,1.390589112,-0.017830389,-0.672021859,2.36520976,1.21336502,0.080728978
2016/01,0.655925591,0.6056695,0.603923136,-0.068012331,-1.573051295,-0.017830389,-0.672021859
2016/02,-1.404136111,0.036210943,0.438527643,1.646732522,0.655925591,0.603923136,-0.068012331
2016/03,0.372278791,1.664535832,1.10205441,-0.053226826,-1.404136111,0.438527643,1.646732522
2016/04,1.759143524,1.228593014,1.134400195,-0.503012565,0.372278791,1.10205441,-0.053226826
2017/01,-2.971102326,0.654127856,0.480110831,-1.314022898,1.759143524,1.134400195,-0.503012565
2017/02,-0.220200127,0.977158904,0.328031163,1.460029266,-2.971102326,0.480110831,-1.314022898
2017/03,0.66033629,0.315447663,-0.314803342,0.583663424,-0.220200127,0.328031163,1.460029266
2017/04,0.7113769,0.489590011,1.1776175,-0.474503938,0.66033629,-0.314803342,0.583663424
2018/01,1.98194846,1.505587851,1.328386906,0.642951469,0.7113769,1.1776175,-0.474503938
2018/02,-0.441050148,-0.1306542,-0.248939859,2.054167197,1.98194846,1.328386906,0.642951469
2018/03,-1.593139592,0.498063242,0.3057201,0.425183499,-0.441050148,-0.248939859,2.054167197
2018/04,-3.025885916,-0.481418993,0.064430399,-0.048313799,-1.593139592,0.3057201,0.425183499
